launch_site,payload_mass,version_booster,date,gridfins,reused,block,reusedcount,landingpad,outcome
CCAFS,0.0,F9 v1.0 7 B0003.1 8,2010-06-04,False,False,1,0,LZ-1,1
Cape Canaveral,2296.0,F9 v1.1,2014-04-18,False,False,1,0,LZ-1,0
Cape Canaveral,1316.0,F9 v1.1,2014-07-14,False,False,1,0,LZ-1,0
Cape Canaveral,2395.0,F9 v1.1 [,2015-01-10,True,False,1,0,JRTI-1,1
Cape Canaveral,570.0,F9 v1.1 [,2015-02-11,True,False,1,0,LZ-1,0
Cape Canaveral,1898.0,F9 v1.1 [,2015-04-14,True,False,1,0,JRTI-1,1
Cape Canaveral,2034.0,F9 FT [,2015-12-22,True,False,1,0,LZ-1,0
VAFB,553.0,F9 v1.1 [,2016-01-17,True,False,1,0,JRTI,1
Cape Canaveral,5271.0,F9 FT [,2016-03-04,True,False,1,0,OCISLY,1
Cape Canaveral,3136.0,F9 FT [,2016-04-08,True,False,2,1,OCISLY,0
Cape Canaveral,4696.0,F9 FT [,2016-05-06,True,False,2,0,OCISLY,0
Cape Canaveral,3100.0,F9 FT [,2016-05-27,True,False,2,1,OCISLY,0
Cape Canaveral,2257.0,F9 FT [,2016-07-18,True,False,2,1,LZ-1,0
Cape Canaveral,4600.0,F9 FT [,2016-08-14,True,False,2,0,OCISLY,0
VAFB,9600.0,F9 FT [,2017-01-14,True,False,3,1,JRTI,0
KSC,2490.0,F9 FT [,2017-02-19,True,False,3,1,LZ-1,0
KSC,5300.0,F9 FT ♺ [,2017-03-30,True,True,2,1,OCISLY,0
KSC,,F9 FT [,2017-05-01,True,False,3,1,LZ-1,0
KSC,2708.0,F9 FT [,2017-06-03,True,False,3,1,LZ-1,0
KSC,3669.0,F9 FT B1029.2 195,2017-06-23,True,True,3,1,OCISLY,0
VAFB,9600.0,F9 FT [,2017-06-25,True,False,3,1,JRTI,0
KSC,3310.0,F9 B4 [,2017-08-14,True,False,4,1,LZ-1,0
VAFB,475.0,F9 FT [,2017-08-24,True,False,3,1,JRTI,0
KSC,4990.0,F9 B4 [,2017-09-07,True,False,4,1,LZ-1,0
VAFB,9600.0,F9 B4 [,2017-10-09,True,False,4,1,JRTI,0
KSC,5200.0,F9 FT B1031.2 220,2017-10-11,True,True,3,1,OCISLY,0
KSC,3500.0,F9 B4 [,2017-10-30,True,False,4,0,OCISLY,0
Cape Canaveral,2205.0,F9 FT B1035.2 227,2017-12-15,True,True,3,1,LZ-1,0
VAFB,9600.0,F9 FT B1036.2 227,2017-12-23,True,True,3,1,LZ-1,0
CCAFS,,F9 B4 [,2018-01-08,True,False,4,1,LZ-1,0
CCAFS,4230.0,F9 FT B1032.2 245,2018-01-31,True,True,3,1,LZ-1,0
CCAFS,362.0,F9 B4 [,2018-04-18,True,False,4,1,OCISLY,0
KSC,3600.0,F9 B5 311 B1046.1 268,2018-05-11,True,False,5,3,OCISLY,0
CCAFS,7075.0,F9 B5,2018-07-22,True,False,5,2,OCISLY,0
VAFB,9600.0,F9 B5 349 B1048 [,2018-07-25,True,False,5,4,JRTI,0
CCAFS,5800.0,F9 B5 B1046.2 354,2018-08-07,True,True,5,3,OCISLY,0
CCAFS,7060.0,F9 B5 [,2018-09-10,True,False,5,9,OCISLY,0
VAFB,3000.0,F9 B5 B1048.2 364,2018-10-08,True,True,5,4,LZ-4,0
KSC,5300.0,F9 B5 B1047.2 268,2018-11-15,True,True,5,2,OCISLY,0
VAFB,,F9 B5 B1046.3 268,2018-12-03,True,True,5,3,JRTI,0
CCAFS,2500.0,F9 B5 [,2018-12-05,True,False,5,0,LZ-1,1
VAFB,9600.0,F9 B5 B1049.2 397,2019-01-11,True,True,5,9,JRTI,0
KSC,12055.0,F9 B5 [ ] 413,2019-03-02,True,False,5,12,OCISLY,0
CCAFS,2495.0,F9 B5 [,2019-05-04,True,False,5,3,OCISLY,0
CCAFS,13620.0,F9 B5 B1049.3 434,2019-05-24,True,True,5,9,OCISLY,0
VAFB,4200.0,F9 B5 B1051.2 420,2019-06-12,True,True,5,12,LZ-4,0
CCAFS,2268.0,F9 B5 B1056.2 465,2019-07-25,True,True,5,3,LZ-1,0
CCAFS,15600.0,F9 B5,2019-11-11,True,True,5,4,OCISLY,0
CCAFS,2617.0,F9 B5 [,2019-12-05,True,False,5,5,OCISLY,0
CCAFS,6956.0,F9 B5 B1056.3 482,2019-12-17,True,True,5,3,OCISLY,0
CCAFS,15600.0,F9 B5,2020-01-07,True,True,5,9,OCISLY,0
CCAFS,15600.0,F9 B5,2020-01-29,True,True,5,12,OCISLY,0
CCAFS,15600.0,F9 B5,2020-02-17,True,True,5,3,OCISLY,1
CCAFS,1977.0,F9 B5,2020-03-07,True,True,5,5,LZ-1,0
KSC,15600.0,F9 B5,2020-03-18,True,True,5,4,OCISLY,1
KSC,15600.0,F9 B5,2020-04-22,True,True,5,12,OCISLY,0
KSC,12530.0,F9 B5 [,2020-05-30,True,False,5,13,OCISLY,0
CCAFS,15600.0,F9 B5,2020-06-04,True,True,5,9,JRTI,0
CCAFS,15410.0,F9 B5,2020-06-13,True,True,5,5,OCISLY,0
CCAFS,4311.0,F9 B5,2020-06-30,True,False,5,12,JRTI,0
CCAFS,,F9 B5 B1058.2 544,2020-07-20,True,True,5,13,JRTI,0
CCAFS,,F9 B5 B1049.6 544,2020-08-18,True,True,5,9,OCISLY,0
CCAFS,3130.0,F9 B5,2020-08-30,True,True,5,5,LZ-1,0
KSC,15600.0,F9 B5 B1060.2 563,2020-09-03,True,True,5,12,OCISLY,0
KSC,15600.0,F9 B5 B1058.3 565,2020-10-06,True,True,5,13,OCISLY,0
KSC,15600.0,F9 B5 B1051.6 568,2020-10-18,True,True,5,12,OCISLY,0
CCAFS,15600.0,F9 B5,2020-10-24,True,True,5,12,JRTI,0
CCAFS,4311.0,F9 B5,2020-11-05,True,False,5,8,OCISLY,0
KSC,,F9 B5 [,2020-11-16,True,False,5,9,JRTI,0
VAFB,1192.0,F9 B5,2020-11-21,True,False,5,6,LZ-4,0
CCAFS,15600.0,F9 B5 ♺ [,2020-11-25,True,True,5,9,OCISLY,0
KSC,2972.0,F9 B5 ♺ [,2020-12-06,True,True,5,13,OCISLY,0
CCSFS,7000.0,F9 B5 ♺,2020-12-13,True,True,5,12,JRTI,0
KSC,,F9 B5 ♺,2020-12-19,True,True,5,5,LZ-1,0
CCSFS,3500.0,F9 B5,2021-01-08,True,True,5,12,JRTI,0
KSC,15600.0,F9 B5 B1051.8 609,2021-01-20,True,True,5,12,JRTI,0
CCSFS,,F9 B5 B1058.5 613,2021-01-24,True,True,5,13,OCISLY,0
CCSFS,15600.0,F9 B5 ♺ [,2021-02-04,True,True,5,12,OCISLY,0
CCSFS,15600.0,F9 B5 ♺,2021-02-16,True,True,5,5,OCISLY,1
KSC,15600.0,F9 B5 ♺ [,2021-03-04,True,True,5,9,OCISLY,0
CCSFS,15600.0,F9 B5 ♺ [,2021-03-11,True,True,5,13,JRTI,0
KSC,15600.0,F9 B5 ♺,2021-03-14,True,True,5,12,OCISLY,0
CCSFS,15600.0,F9 B5 B1060.6 643,2021-03-24,True,True,5,12,OCISLY,0
CCSFS,15600.0,F9 B5 ♺,2021-04-07,True,True,5,13,OCISLY,0
KSC,,F9 B5 B1061.2 647,2021-04-23,True,True,5,9,OCISLY,0
CCSFS,15600.0,F9 B5 B1060.7 652,2021-04-29,True,True,5,12,JRTI,0
KSC,15600.0,F9 B5 B1049.9 655,2021-05-04,True,True,5,9,OCISLY,0
